,cnt,country_name,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2x_delibdem,v2x_egaldem,v2x_api,v2x_mpi,v2x_freexp_altinf,v2x_frassoc_thick,v2x_suffr,v2xel_frefair,v2x_elecoff,v2x_liberal,v2xcl_rol,v2x_jucon,v2xlg_legcon,v2x_partip,v2x_cspart,v2xdd_dd,v2xel_locelec,v2xel_regelec,v2xdl_delib,v2xeg_eqprotec,v2xeg_eqaccess,v2xeg_eqdr,country,var,Financial services,FinSecGrowth_5Yrs
0,ARG,Argentina,2018,0.779,0.625,0.517,0.578,0.616,0.902,0.655,0.86,0.907,1.0,0.863,1.0,0.787,0.883,0.748,0.76,0.607,0.856,0.015,0.925,0.944,0.704,0.792,0.827,0.722,Argentina,VA_Q15,359619.8836,0.008063547608322574
1,BFA,Burkina Faso,2018,0.715,0.519,0.443,0.587,0.489,0.871,0.56,0.894,0.844,1.0,0.768,1.0,0.69,0.756,0.628,0.711,0.549,0.933,0.033,0.696,0.098,0.821,0.822,0.791,0.319,Burkina Faso,VA_Q15,179298.3464,0.107439330732777
2,BGD,Bangladesh,2018,0.287,0.111,0.147,0.114,0.099,0.536,0.038,0.467,0.537,1.0,0.173,0.93,0.235,0.389,0.166,0.123,0.349,0.613,0.0,0.406,0.0,0.241,0.158,0.27,0.132,Bangladesh,VA_Q15,707330.26340609,0.07962076831052615
3,BOL,Bolivia,2018,0.614,0.357,0.45,0.428,0.417,0.813,0.415,0.755,0.813,1.0,0.697,1.0,0.505,0.786,0.36,0.375,0.701,0.919,0.277,0.916,0.836,0.661,0.747,0.804,0.356,Bolivia,VA_Q15,14100.64325,0.08460441771453593
4,BRA,Brazil,2018,0.762,0.599,0.483,0.462,0.431,0.894,0.629,0.803,0.905,1.0,0.895,1.0,0.765,0.733,0.845,0.748,0.563,0.692,0.02,0.991,0.968,0.522,0.386,0.626,0.403,Brazil,VA_Q15,348834.9598405403,-0.01262439221533418
5,BWA,Botswana,2018,0.686,0.58,0.43,0.579,0.487,0.859,0.512,0.825,0.874,1.0,0.805,0.914,0.848,0.909,0.853,0.804,0.563,0.896,0.029,0.779,0.0,0.852,0.743,0.58,0.723,Botswana,VA_Q15,7717.607512,0.02009642705864654
6,CHL,Chile,2018,0.863,0.803,0.569,0.761,0.628,0.942,0.784,0.917,0.901,1.0,0.966,1.0,0.944,0.943,0.931,0.976,0.581,0.78,0.015,0.967,0.261,0.878,0.787,0.71,0.554,Chile,VA_Q15,8334384.269947934,0.03581526494375318
7,CHN,China,2018,0.077,0.052,0.052,0.146,0.097,0.154,0.0,0.054,0.047,1.0,0.0,0.0,0.182,0.236,0.142,0.136,0.192,0.344,0.0,0.229,0.021,0.53,0.25,0.337,0.451,China,VA_Q15,6683061.58,0.09585298469109768
8,CMR,Cameroon,2018,0.312,0.129,0.115,0.146,0.226,0.572,0.052,0.588,0.497,1.0,0.188,1.0,0.27,0.474,0.119,0.191,0.227,0.551,0.02,0.079,0.027,0.313,0.644,0.53,0.536,Cameroon,VA_Q15,618244.167,0.06962304907047452
9,COL,Colombia,2018,0.649,0.51,0.454,0.484,0.338,0.836,0.463,0.729,0.899,1.0,0.745,0.977,0.769,0.7,0.846,0.782,0.661,0.783,0.212,0.996,0.991,0.715,0.4,0.505,0.364,Colombia,VA_Q15,38988000.0,0.06016004860173578
10,CRI,Costa Rica,2018,0.895,0.839,0.665,0.838,0.803,0.956,0.834,0.947,0.931,1.0,0.96,1.0,0.945,0.947,0.954,0.956,0.686,0.928,0.163,0.986,0.0,0.946,0.908,0.898,0.928,Costa Rica,VA_Q15,1742426.407123713,0.08819155515192674
11,ECU,Ecuador,2018,0.674,0.48,0.473,0.533,0.466,0.849,0.5,0.876,0.827,1.0,0.715,1.0,0.671,0.865,0.489,0.679,0.659,0.675,0.328,0.987,0.868,0.779,0.573,0.734,0.645,Ecuador,VA_Q15,3418.343314919203,0.03624036191712212
12,EGY,Egypt,2018,0.186,0.118,0.07,0.107,0.103,0.368,0.003,0.183,0.156,1.0,0.116,0.976,0.354,0.258,0.605,0.184,0.183,0.178,0.213,0.053,0.143,0.314,0.258,0.464,0.152,Egypt,VA_Q15,110972.6448,0.040583286180244385
13,ETH,Ethiopia,2018,0.279,0.147,0.103,0.242,0.211,0.522,0.036,0.472,0.397,1.0,0.202,1.0,0.356,0.615,0.186,0.249,0.218,0.255,0.013,0.248,0.324,0.66,0.703,0.499,0.499,Ethiopia,VA_Q15,62495.4274985293,0.12087546245722187
14,GHA,Ghana,2018,0.728,0.615,0.383,0.623,0.538,0.878,0.578,0.88,0.901,1.0,0.74,1.0,0.847,0.9,0.856,0.816,0.425,0.923,0.024,0.35,0.059,0.865,0.787,0.782,0.566,Ghana,VA_Q15,7790.92938868991,0.0327567388288462
15,HKG,Hong Kong,2018,0.328,0.275,0.123,0.267,0.304,0.656,0.0,0.769,0.627,1.0,0.745,0.0,0.692,0.931,0.81,0.345,0.24,0.716,0.0,0.0,0.0,0.665,0.782,0.709,0.894,Hong Kong,VA_Q15,479538.4504467046,0.05503406441992733
16,IDN,Indonesia,2018,0.597,0.463,0.398,0.528,0.396,0.802,0.392,0.769,0.735,1.0,0.73,1.0,0.75,0.741,0.803,0.738,0.618,0.887,0.0,0.965,0.963,0.896,0.654,0.594,0.6,Indonesia,VA_Q15,555750419.7,0.06365441891873073
17,IND,India,2018,0.522,0.408,0.313,0.364,0.317,0.752,0.292,0.62,0.691,1.0,0.712,0.996,0.745,0.721,0.811,0.725,0.53,0.615,0.0,0.894,0.977,0.653,0.691,0.644,0.282,India,VA_Q15,8406430.916342795,0.06163042711687598
18,ISR,Israel,2018,0.7,0.613,0.451,0.531,0.565,0.862,0.538,0.833,0.765,1.0,0.869,1.0,0.887,0.899,0.859,0.934,0.59,0.789,0.013,0.973,0.0,0.741,0.871,0.771,0.794,Israel,VA_Q15,56233.93178599614,0.012855346220136333
19,JPN,Japan,2018,0.827,0.741,0.542,0.732,0.748,0.926,0.729,0.867,0.92,1.0,0.936,1.0,0.902,0.969,0.831,0.933,0.582,0.728,0.02,0.994,0.991,0.895,0.975,0.834,0.975,Japan,VA_Q15,23996401.09,0.013630095398832776
20,KEN,Kenya,2018,0.445,0.352,0.299,0.344,0.29,0.713,0.178,0.812,0.734,1.0,0.31,0.988,0.729,0.648,0.715,0.852,0.596,0.78,0.123,0.722,0.898,0.714,0.542,0.649,0.514,Kenya,VA_Q15,464913.2114,0.043907415619799425
21,KHM,Cambodia,2018,0.218,0.075,0.144,0.07,0.091,0.425,0.011,0.209,0.253,1.0,0.228,1.0,0.176,0.33,0.09,0.083,0.412,0.455,0.0,0.804,0.03,0.164,0.206,0.266,0.163,Cambodia,VA_Q15,1841637.164,0.10831523229077397
22,KOR,South Korea,2018,0.868,0.799,0.605,0.799,0.761,0.944,0.791,0.956,0.876,1.0,0.961,1.0,0.932,0.954,0.902,0.961,0.634,0.884,0.031,0.99,0.977,0.931,0.866,0.824,0.966,Republic of Korea,VA_Q15,98999700.0,0.05092572791921688
23,LAO,Laos,2018,0.121,0.097,0.11,0.063,0.108,0.242,0.0,0.021,0.059,1.0,0.126,0.5,0.33,0.157,0.608,0.202,0.376,0.248,0.0,0.891,0.152,0.206,0.27,0.457,0.365,Laos,VA_Q15,3787788.462,0.09139963915885221
24,LKA,Sri Lanka,2018,0.628,0.476,0.38,0.438,0.439,0.823,0.434,0.791,0.852,1.0,0.665,1.0,0.734,0.821,0.895,0.515,0.538,0.782,0.031,0.71,0.794,0.664,0.571,0.668,0.776,Sri Lanka,VA_Q15,611052.5132537944,0.11372031036834795
25,LSO,Lesotho,2018,0.604,0.445,0.385,0.465,0.471,0.809,0.398,0.737,0.855,1.0,0.659,0.99,0.703,0.752,0.705,0.669,0.582,0.828,0.013,0.932,0.204,0.753,0.743,0.835,0.775,Lesotho,VA_Q15,2583.735536,0.05679600699786245
